latitude,longitude
59.000376000,5.652745200
59.000291500,5.652778200
58.999942200,5.652949000
58.999782800,5.653057700
58.999642500,5.653167300
58.999584200,5.653216300
58.999421500,5.653358500
58.999378500,5.653397200
58.999269300,5.653504800
58.999055500,5.653733800
58.998979500,5.653815200
58.998761500,5.654044700
58.998648000,5.654166500
58.998522200,5.654302300
58.998436200,5.654396800
58.998335500,5.654504800
58.998218800,5.654632800
58.998052800,5.654815700
58.997955500,5.654920300
58.997835500,5.655048200
58.997762500,5.655115000
58.997688300,5.655176500
58.997489300,5.655361200
58.997464700,5.655389300
58.997464700,5.655389800
58.997464500,5.655389500
58.997464000,5.655390200
58.997463300,5.655391200
58.997463200,5.655391300
58.997462700,5.655391700
58.997446500,5.655412800
58.997399200,5.655484000
58.997270200,5.655662000
58.997156200,5.655790200
58.997047200,5.655897700
58.996971000,5.655939500
58.996969800,5.655940300
58.996971200,5.655942000
58.996964300,5.655947000
58.996917800,5.655970000
58.996838500,5.655950700
58.996762200,5.655817500
58.996657800,5.655485700
58.996572700,5.655234000
58.996485500,5.655006200
58.996387200,5.654863000
58.996305700,5.654808800
58.996256000,5.654796700
58.996225800,5.654806300
58.996176500,5.654896300
58.996151800,5.655087700
58.996143200,5.655519800
58.996131200,5.655892800
58.996107800,5.656302500
58.996071000,5.656708200
58.996032500,5.657057300
58.995997800,5.657333000
58.995970300,5.657566700
58.995917200,5.657996700
58.995870700,5.658355200
58.995820500,5.658756200
58.995768500,5.659183200
58.995689300,5.659807200
58.995666500,5.659986200
58.995628300,5.660285800
58.995595800,5.660538800
58.995544700,5.660945300
58.995497500,5.661343200
58.995461500,5.661648000
58.995415200,5.662015800
58.995390200,5.662218300
58.995281700,5.663085500
58.995227000,5.663516500
58.995174800,5.663936700
58.995126800,5.664335800
58.995072000,5.664704800
58.994988700,5.665027800
58.994806500,5.665425000
58.994666300,5.665656700
58.994534300,5.665872300
58.994413700,5.666063000
58.994281500,5.666297000
58.994264200,5.666487000
58.994292200,5.666704000
58.994343300,5.666960200
58.994427200,5.667354300
58.994477000,5.667593300
58.994521700,5.667800500
58.994550700,5.667937700
58.994559500,5.668058800
58.994485500,5.668274700
58.994380800,5.668419500
58.994240300,5.668614300
58.994066700,5.668850800
58.993870500,5.669098800
58.993535500,5.669349000
58.993296800,5.669387700
58.993058300,5.669325800
58.992720700,5.669065300
58.992503800,5.668845700
58.992288800,5.668627300
58.992076300,5.668420000
58.991861200,5.668251700
58.991639500,5.668155300
58.991416200,5.668129700
58.991084200,5.668234500
58.990872700,5.668366500
58.990659300,5.668515500
58.990437000,5.668665300
58.990093700,5.668882700
58.989867000,5.669032300
58.989644500,5.669177300
58.989433300,5.669324300
58.989246700,5.669511300
58.989164200,5.669621000
58.988892200,5.670155800
58.988780700,5.670485000
58.988696000,5.670851700
58.988642200,5.671254000
58.988592800,5.671912200
58.988558700,5.672367700
58.988527200,5.672813800
58.988497700,5.673244500
58.988460200,5.673656700
58.988354300,5.674196200
58.988303000,5.674346500
58.988202000,5.674584800
58.988145500,5.674837800
58.988232500,5.675002000
58.988322800,5.675110300
58.988423700,5.675208500
58.988540700,5.675259200
58.988540700,5.675259200
58.988824300,5.675160500
58.988987300,5.675082800
58.989273700,5.674943700
58.989479800,5.674852800
58.989585500,5.674814200
58.990009300,5.674734800
58.990215700,5.674740300
58.990393300,5.674770700
58.990529200,5.674807200
58.990658200,5.674847300
58.990899300,5.674924000
58.991078700,5.674984800
58.991268000,5.675048500
58.991462800,5.675116000
58.991751000,5.675211700
58.991932700,5.675259000
58.992109200,5.675259300
58.992285200,5.675204500
58.992456300,5.675116700
58.992690200,5.675021800
58.992845800,5.675085500
58.992985500,5.675261800
58.993088000,5.675527300
58.993163000,5.675828500
58.993276500,5.676320300
58.993358500,5.676673300
58.993441700,5.677020500
58.993522200,5.677360000
58.993602300,5.677701800
58.993685000,5.678047000
58.993810000,5.678566700
58.993892800,5.678921200
58.993977700,5.679280700
58.994061200,5.679638200
58.994142800,5.679988700
58.994265200,5.680502000
58.994344300,5.680830500
58.994417000,5.681129800
58.994466200,5.681410000
58.994499700,5.681633000
58.994534500,5.681797200
58.994536500,5.681805300
58.994536800,5.681805000
58.994537200,5.681805000
58.994537700,5.681805300
58.994537800,5.681806200
58.994538500,5.681812000
58.994544800,5.681830000
58.994608500,5.681990700
58.994683700,5.682307700
58.994734500,5.682530200
58.994783800,5.682755200
58.994831000,5.682987500
58.994872700,5.683211000
58.994911800,5.683463800
58.994953700,5.683940300
58.994966300,5.684286700
58.994961200,5.684661300
58.994939300,5.685064000
58.994868300,5.685645200
58.994836700,5.685827000
58.994727300,5.686338300
58.994646300,5.686665500
58.994548200,5.686983300
58.994368200,5.687433500
58.994304500,5.687572200
58.994125200,5.687916700
58.993957300,5.688203200
58.993827200,5.688426200
58.993595700,5.688827000
58.993433300,5.689100200
58.993352200,5.689236200
58.993109300,5.689638200
58.992944000,5.689894300
58.992775000,5.690135800
58.992521200,5.690458300
58.992354700,5.690653800
58.992178700,5.690793000
58.992019700,5.690857500
58.991876000,5.690865700
58.991851000,5.690862700
58.991846200,5.690862700
58.991845700,5.690863000
58.991830200,5.690864000
58.991790500,5.690930700
58.991790500,5.690930700
58.991708300,5.691429800
58.991625000,5.691649500
58.991576800,5.691741500
58.991439700,5.691950300
58.991337200,5.692112300
58.991337200,5.692112300
58.991337200,5.692112300
58.990902700,5.693129700
58.990801400,5.693483700
58.990712200,5.693846700
58.990644800,5.694215800
58.990559500,5.694745200
58.990531400,5.694922600
58.990471400,5.695253800
58.990424000,5.695532900
58.990326000,5.695946500
58.990174400,5.696349100
58.990048400,5.696580600
58.989902000,5.696785300
58.989758800,5.697029100
58.989633800,5.697309400
58.989518300,5.697621800
58.989373200,5.698127200
58.989276100,5.698472600
58.989178900,5.698816700
58.989029600,5.699349500
58.988978200,5.699524000
58.988828900,5.700031300
58.988718700,5.700357200
58.988657500,5.700505300
58.988434700,5.700886900
58.988187000,5.701207200
58.988105700,5.701307000
58.987859000,5.701611900
58.987706500,5.701850900
58.987578300,5.702112000
58.987447500,5.702483800
58.987386100,5.702686400
58.987301500,5.702899300
58.987185300,5.703162600
