Size,Latitude,Longitude,Destination
3,58.9204072,5.8590623,Hommersaak Via Sandnes-Maudland-Riskafeltet
3,58.9049561,5.8506159,Sandnes
3,58.8386125,5.7234116,Bryne
3,58.7834483,5.7244527,Kvernaland
3,59.03091436268292,5.801623623560801,Tau
3,59.0470317,5.9243942,Solbakk Bussterminal
3,59.03228170020725,5.806309281743538,Jorpeland
3,59.0246135,6.0440605,Jorpeland
3,59.0365167,5.9354492,Tau
3,59.0214318,6.0447387,Jorpeland
3,59.0247932,5.9761098,Stavanger
3,58.9695276,5.7481374,Stavanger
3,59.0176215,6.043467,Jorpeland
3,59.0366152,5.93521,Jorpeland
3,59.108398,6.1836223,Hjelmeland Via Fister
3,58.7473561,5.631506,Sandnes
3,59.5675742,6.2750895,Olen Via Ropeid
3,59.4559713,6.3845447,Sand
3,59.4894982,5.9716807,Sauda Via Ropeid
3,59.4055251,5.3340421,Amanda Via Haugesund
3,59.3959025,5.3003162,Amanda Via Haugesund
3,59.4122134,5.2895729,Amanda Via Haugesund
3,59.4144735,5.2667903,Bleikemyr Via Haugesund
3,59.3980707,5.3020365,Bleikemyr Via Haugesund
3,59.3933076,5.3291393,Amanda Via Haugesund
3,59.4156413,5.3056188,Vormedal Via Haugesund
3,59.3795462,5.3064205,Vormedal Via Haugesund
3,59.4329798,5.2911505,Amanda Via Haugesund
3,59.4218613,5.4767761,Grinde Via Amanda
3,59.4853717,5.7271647,Sandeid Via Raunes
3,59.2395525,5.2007092,Haugesund Via Veavaagen-Kopervik
3,59.4123107,5.2689482,Haugesund Via Veavaagen-Kopervik
3,59.3924357,5.293223,Haugesund Via Kopervik
3,59.275228,5.2232939,Skudeneshavn
3,59.319992,5.2907522,Haugesund Via Kopervik
3,59.3794187,5.3061757,Vikjaa
3,59.2695347,5.2007447,Skudeneshavn Via Kopervik-Veavaagen
3,59.3051276,5.2874653,Aakrehamn Via Kopervik
3,59.406484,5.3659133,Norheim Via Amanda
3,59.4005491,5.6645853,Nedstrand
3,59.6306985,5.5855708,Olen Via Vikebygd
3,59.4598452,5.5732992,Haugesund Via Nes
3,59.3799887,5.30727,Aakrehamn Via Kopervik
3,58.9686205,5.7353058,Stavanger
3,58.8073718,5.9857177,Gilja Via Ravndal
3,58.9176568,5.6992127,Randaberg Via Uis
3,58.9696612,5.7315587,Kiellandshagen
3,58.9429453,5.6819372,Sola Via Uis
3,58.8994173,5.7220035,Stavanger Via Sus
3,58.8549918,5.7664537,Sandnes
3,58.9814235,5.710585,Randaberg
3,58.9939543,5.6791207,Vardenes
3,58.8074842,5.7779932,Aalgaard
3,58.8654647,5.7364967,Risavika Via Varatun-Stavanger
3,58.9683023,5.7351912,Stavanger
