latitude,longitude
58.917519800,5.852406000
58.917421200,5.852426200
58.917303500,5.852423300
58.917212200,5.852418500
58.917153300,5.852417200
58.917094500,5.852415300
58.916984200,5.852409500
58.916851200,5.852403700
58.916781000,5.852398700
58.916640200,5.852388000
58.916474300,5.852378800
58.916390000,5.852374500
58.916303200,5.852369000
58.916119700,5.852353200
58.915927700,5.852332300
58.915927700,5.852332300
58.915712500,5.852307700
58.915483800,5.852276200
58.915363300,5.852257700
58.915106800,5.852217700
58.914828000,5.852176800
58.914523000,5.852129800
58.914362800,5.852103200
58.914033000,5.852049300
58.913695800,5.851991800
58.913695800,5.851991800
58.913353800,5.851938200
58.913008800,5.851881500
58.912665200,5.851825300
58.912665200,5.851825300
58.912155200,5.851749500
58.911631800,5.851667500
58.911453200,5.851636200
58.911453200,5.851636200
58.911453200,5.851636200
58.911274200,5.851606300
58.911274200,5.851606300
58.910194500,5.851429500
58.909633300,5.851340200
58.909633300,5.851340200
58.909073000,5.851248800
58.908885300,5.851220200
58.908696700,5.851191000
58.908507800,5.851160700
58.908130500,5.851101300
58.907754200,5.851041800
58.907379200,5.850984700
58.907006500,5.850926500
58.906820800,5.850893700
58.906449200,5.850829300
58.906262700,5.850801000
58.906076300,5.850772000
58.905517500,5.850680700
58.905329800,5.850649800
58.905141500,5.850622000
58.904763000,5.850565000
58.904385700,5.850504500
58.904016700,5.850440800
58.903836000,5.850410000
58.903471700,5.850350700
58.903471700,5.850350700
58.902906700,5.850256800
58.902906700,5.850256800
58.902318700,5.850160800
58.901921500,5.850101800
58.901722800,5.850068500
58.901325200,5.850008800
58.901127000,5.849978000
58.900736800,5.849909000
58.900548300,5.849876500
58.900184200,5.849795300
58.900184200,5.849795300
58.899671200,5.849536700
58.899671200,5.849536700
58.899218700,5.849042500
58.898951200,5.848615700
58.898830800,5.848375200
58.898616000,5.847855300
58.898421000,5.847316300
58.898327300,5.847048000
58.898144300,5.846523300
58.898054700,5.846265000
58.897879200,5.845758000
58.897879200,5.845758000
58.897612800,5.845044800
58.897512800,5.844838000
58.897287300,5.844498700
58.897032700,5.844263200
58.896899000,5.844186300
58.896627500,5.844120500
58.896492800,5.844126300
58.896229200,5.844184300
58.895969700,5.844238800
58.895838700,5.844253200
58.895570500,5.844253300
58.895434700,5.844240200
58.895161500,5.844199500
58.894889500,5.844143200
58.894754000,5.844104200
58.894483300,5.843990300
58.894346800,5.843925300
58.894208800,5.843865500
58.893925800,5.843781800
58.893635700,5.843755000
58.893346700,5.843771500
58.893204200,5.843788200
58.892925300,5.843837200
58.892789300,5.843880200
58.892523300,5.844021300
58.892262800,5.844229500
58.892132000,5.844343500
58.891868800,5.844578200
58.891736700,5.844696000
58.891471500,5.844927800
58.891338700,5.845044500
58.891074700,5.845278500
58.890814200,5.845505500
58.890682700,5.845607300
58.890411000,5.845764000
58.890270200,5.845814500
58.889979500,5.845848700
58.889833300,5.845831200
58.889546300,5.845725500
58.889406500,5.845633800
58.889135800,5.845381800
58.888874800,5.845066000
58.888748500,5.844887000
58.888500800,5.844499200
58.888258200,5.844077000
